N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"55,200",600,-1.08%,100,"3,295,320","5,969,783",49.51,"13,467,547",8.37,13.92,
2,LG에너지솔루션,"477,000","6,000",-1.24%,500,"1,116,180","234,000",4.48,"302,878",792.36,10.68,
3,SK하이닉스,"94,900",900,+0.96%,"5,000","690,874","728,002",50.62,"4,179,758",6.02,16.84,
4,삼성바이오로직스,"807,000","13,000",-1.59%,"2,500","574,374","71,174",10.52,"46,758",107.33,8.21,
5,삼성전자우,"50,400",100,-0.20%,100,"414,735","822,887",71.54,"852,138",7.64,N/A,
6,삼성SDI,"596,000","14,000",-2.30%,"5,000","409,837","68,765",45.11,"233,776",27.80,8.45,
7,LG화학,"575,000","16,000",-2.71%,"5,000","405,906","70,592",48.41,"168,317",20.27,18.47,
8,현대차,"164,500","3,500",-2.08%,"5,000","351,484","213,668",29.00,"683,297",7.30,6.84,
9,기아,"68,300",100,+0.15%,"5,000","276,863","405,363",37.09,"1,357,088",5.23,14.69,
10,NAVER,"158,500","3,500",-2.16%,100,"260,018","164,049",50.11,"1,454,337",25.86,106.72,
11,셀트리온,"165,000",500,+0.30%,"1,000","232,307","140,792",21.25,"388,097",41.28,16.04,
12,카카오,"47,300","2,550",-5.12%,100,"210,637","445,322",28.04,"2,418,426",9.46,17.10,
13,POSCO홀딩스,"237,500","1,000",+0.42%,"5,000","200,857","84,571",53.68,"514,223",2.86,13.97,
14,삼성물산,"107,000","1,000",-0.93%,100,"199,969","186,887",16.50,"260,787",12.74,5.40,
15,현대모비스,"195,500",0,0.00%,"5,000","184,890","94,573",35.70,"168,717",7.80,6.87,
16,KB금융,"44,700",150,+0.34%,"5,000","182,777","408,897",73.60,"1,386,121",3.95,9.80,
17,신한지주,"34,900",50,-0.14%,"5,000","179,014","512,934",61.73,"1,146,541",4.33,8.80,
18,SK,"199,500","2,500",-1.24%,200,"147,928","74,149",22.34,"112,248",4.48,10.19,
19,SK이노베이션,"151,500","6,000",-3.81%,"5,000","140,085","92,466",25.68,"359,260",5.54,1.91,
20,삼성생명,"65,400",300,+0.46%,500,"130,800","200,000",13.10,"275,656",17.92,4.01,
21,LG전자,"78,100","1,700",-2.13%,"5,000","127,809","163,648",25.75,"583,862",7.66,6.32,
22,포스코케미칼,"158,500","3,500",-2.16%,500,"122,779","77,463",7.37,"671,375",89.55,7.92,
23,LG,"76,600","1,900",-2.42%,"5,000","120,493","157,301",36.22,"213,580",5.26,12.36,
24,고려아연,"604,000","4,000",-0.66%,"5,000","119,973","19,863",21.79,"60,123",13.38,11.07,
25,KT&G,"87,200",200,+0.23%,"5,000","119,719","137,292",42.20,"316,579",11.31,10.74,
26,하나금융지주,"37,500",150,+0.40%,"5,000","110,964","295,903",71.20,"1,147,648",3.21,10.86,
27,한국전력,"17,250",900,-4.96%,"5,000","110,739","641,964",14.75,"2,635,792",-0.71,-7.99,
28,SK텔레콤,"48,550",200,-0.41%,100,"106,243","218,833",46.54,"413,828",8.37,13.63,
29,현대중공업,"115,500","6,000",-4.94%,"5,000","102,533","88,773",5.70,"215,959",-13.88,-14.87,
30,S-Oil,"82,000","2,900",-3.42%,"2,500","92,318","112,583",81.54,"232,768",3.81,21.76,
31,삼성화재,"188,000",500,+0.27%,500,"89,065","47,375",49.86,"70,142",8.24,7.09,
32,HMM,"18,150",350,+1.97%,"5,000","88,761","489,039",9.26,"3,154,475",0.76,88.62,
33,KT,"33,900",450,-1.31%,"5,000","88,517","261,112",44.49,"686,924",6.15,9.36,
34,LG생활건강,"563,000","18,000",-3.10%,"5,000","87,930","15,618",37.46,"69,610",16.72,16.65,
35,삼성에스디에스,"113,000","4,500",-3.83%,500,"87,437","77,378",13.61,"122,794",11.49,8.80,
36,한화솔루션,"45,400","2,700",-5.61%,"5,000","86,840","191,278",22.88,"1,706,406",24.99,8.79,
37,크래프톤,"176,000","4,500",-2.49%,100,"86,367","49,072",29.13,"297,350",13.67,17.86,
38,삼성전기,"114,000","3,000",-2.56%,"5,000","85,151","74,694",26.27,"380,312",8.57,14.29,
39,우리금융지주,"11,350",0,0.00%,"5,000","82,635","728,061",40.47,"2,412,460",2.82,10.59,
40,두산에너빌리티,"12,600","1,000",-7.35%,"5,000","80,427","638,308",11.53,"8,383,837",94.74,10.67,
41,카카오뱅크,"16,550","1,200",-6.76%,"5,000","78,882","476,631",13.30,"4,114,612",36.70,4.91,
42,대한항공,"20,700","1,400",-6.33%,"5,000","76,222","368,221",14.77,"2,493,888",4.84,11.60,
43,기업은행,"9,970",50,+0.50%,"5,000","74,207","744,301",13.45,"1,142,291",3.28,9.21,
44,엔씨소프트,"322,500","14,500",-4.30%,500,"70,802","21,954",43.07,"92,293",13.91,12.62,
45,LG이노텍,"280,000","4,000",-1.41%,"5,000","66,268","23,667",24.64,"284,918",6.88,30.94,
46,현대글로비스,"162,500","1,500",+0.93%,500,"60,938","37,500",46.31,"109,188",5.89,14.41,
47,CJ제일제당,"388,500","9,500",-2.39%,"5,000","58,486","15,054",24.45,"25,611",9.81,10.76,
48,아모레퍼시픽,"94,900","4,700",-4.72%,500,"55,510","58,493",25.73,"300,475",77.98,4.20,
49,SK바이오사이언스,"72,200",700,-0.96%,500,"55,438","76,784",4.08,"467,112",16.54,38.08,
50,SK스퀘어,"38,100",50,-0.13%,100,"53,899","141,468",41.78,"313,062",2.36,N/A,
51,롯데케미칼,"155,500","7,000",-4.31%,"5,000","53,298","34,275",24.00,"215,875",10.37,9.87,
52,한국조선해양,"74,000","3,300",-4.27%,"5,000","52,372","70,773",20.40,"182,681",-7.55,-8.95,
53,F&F,"135,000","4,000",-2.88%,100,"51,715","38,307",12.18,"75,894",14.12,N/A,
54,강원랜드,"23,150",700,-2.94%,500,"49,527","213,940",22.42,"326,560",120.57,-0.33,
55,KODEX 200,"28,365",460,-1.60%,0,"48,674","171,600",5.29,"8,435,725",N/A,N/A,
56,LG디스플레이,"13,500",150,-1.10%,"5,000","48,305","357,816",19.01,"1,112,287",22.96,9.68,
57,맥쿼리인프라,"11,600",200,-1.69%,0,"46,962","404,846",13.56,"539,087",N/A,N/A,
58,삼성엔지니어링,"23,650",150,+0.64%,"5,000","46,354","196,000",40.35,"937,509",10.88,20.67,
59,카카오페이,"34,400","1,800",-4.97%,500,"45,643","132,682",42.59,"998,663",-173.74,-2.45,
60,HD현대,"57,400",600,-1.03%,"1,000","45,342","78,993",17.21,"111,871",5.10,-1.99,
61,하이브,"109,500","5,000",-4.37%,500,"45,282","41,353",15.54,"393,436",19.30,6.83,
62,LG유플러스,"10,250",200,-1.91%,"5,000","44,753","436,611",37.58,"891,203",7.00,9.47,
63,삼성중공업,"5,050",250,-4.72%,"1,000","44,440","880,000",15.62,"4,518,802",-6.67,-36.89,
64,한국타이어앤테크놀로지,"34,000",300,-0.87%,500,"42,118","123,875",35.99,"203,885",6.17,7.69,
65,현대미포조선,"102,500","4,000",-3.76%,"5,000","40,941","39,942",20.07,"289,635",-97.16,-7.11,
66,SK바이오팜,"51,800","1,400",-2.63%,500,"40,566","78,313",5.93,"165,354",-52.17,15.75,
67,GS,"43,650",400,-0.91%,"5,000","40,558","92,915",24.64,"137,379",1.87,15.55,
68,유한양행,"55,300",400,+0.73%,"1,000","40,497","73,231",19.38,"222,829",42.05,5.45,
69,현대제철,"29,950",500,-1.64%,"5,000","39,967","133,446",21.06,"392,982",2.06,8.54,
70,현대건설,"35,800","1,550",-4.15%,"5,000","39,865","111,356",23.41,"669,900",7.06,5.89,
71,롯데지주,"37,400","1,800",-4.59%,200,"39,236","104,909",9.83,"176,798",11.76,4.61,
72,한국항공우주,"40,000","4,400",-9.91%,"5,000","38,990","97,475",23.11,"3,529,282",45.98,5.19,
73,코웨이,"52,500","1,300",-2.42%,500,"38,745","73,800",61.78,"233,666",7.88,27.41,
74,DB손해보험,"54,600",400,+0.74%,500,"38,657","70,800",42.61,"152,405",4.03,13.38,
75,오리온,"97,400",700,+0.72%,500,"38,508","39,536",35.86,"106,495",13.18,12.75,
76,한온시스템,"7,210",160,-2.17%,100,"38,487","533,800",16.46,"1,121,326",20.60,13.83,
77,금호석유,"129,500","5,500",-4.07%,"5,000","37,962","29,314",21.30,"133,703",2.76,47.76,
78,미래에셋증권,"6,130",100,-1.61%,"5,000","37,719","615,316",12.62,"1,014,873",4.97,11.66,
79,넷마블,"43,300","1,050",-2.37%,100,"37,218","85,954",23.29,"388,560",-159.78,4.29,
80,SKC,"92,500",100,-0.11%,"5,000","35,028","37,868",16.88,"555,632",11.94,11.60,
81,삼성카드,"30,150",100,-0.33%,"5,000","34,931","115,859",6.62,"60,025",5.97,7.53,
82,SK아이이테크놀로지,"48,050","3,050",-5.97%,"1,000","34,258","71,298",9.23,"750,783",265.47,5.57,
83,TIGER 차이나전기차SOLACTIVE,"13,940",135,-0.96%,0,"33,060","237,160",0.53,"2,094,055",N/A,N/A,
84,현대오토에버,"115,000","3,000",+2.68%,500,"31,538","27,424",1.96,"106,603",40.72,7.26,
85,메리츠화재,"27,500",850,-3.00%,500,"31,290","113,783",11.41,"248,223",4.09,26.12,
86,KODEX KOFR금리액티브(합성),"100,980",10,+0.01%,0,"30,070","29,778",2.08,"29,333",N/A,N/A,
87,한국가스공사,"32,450","2,100",-6.08%,"5,000","29,956","92,313",10.83,"516,833",2.18,11.63,
88,NH투자증권,"8,850",70,-0.78%,"5,000","29,352","331,666",12.96,"396,452",4.56,14.77,
89,두산밥캣,"28,950",400,-1.36%,500,"29,022","100,249",26.15,"229,961",6.93,9.19,
90,BGF리테일,"167,000","4,500",-2.62%,"1,000","28,864","17,284",31.86,"52,647",17.14,19.61,
91,호텔신라,"73,500",600,-0.81%,"5,000","28,847","39,248",16.92,"253,619",88.13,4.51,
92,현대차2우B,"79,000","1,000",-1.25%,"5,000","28,824","36,485",60.09,"40,818",3.51,N/A,
93,쌍용C&E,"5,590",250,-4.28%,100,"28,166","503,860",2.81,"850,064",23.79,11.12,
94,한미약품,"227,500","1,500",-0.66%,"2,500","28,023","12,318",14.66,"32,525",35.56,8.75,
95,삼성증권,"31,000",300,-0.96%,"5,000","27,683","89,300",26.93,"220,389",3.95,16.94,
96,현대해상,"30,300",500,+1.68%,500,"27,088","89,400",33.25,"367,641",4.95,8.82,
97,한국금융지주,"48,150",600,-1.23%,"5,000","26,832","55,726",33.90,"246,030",2.02,27.12,
98,한화에어로스페이스,"52,600","4,900",-8.52%,"5,000","26,631","50,630",23.77,"1,917,285",17.24,9.21,
99,제일기획,"22,800",50,-0.22%,200,"26,229","115,041",32.64,"250,302",14.29,15.58,
100,포스코인터내셔널,"21,250",900,-4.06%,"5,000","26,217","123,375",9.38,"445,025",4.93,10.86,
